"year","crimeid","done","attempted","solved","level0","level1","level2"
2014,1,14,9,20,"Ανθρωποκτονίες","-","-"
2014,2,404,41,350,"Απάτες","-","-"
2014,3,11,"-",9,"Αρχαιοκαπηλεία","-","-"
2014,4,13,1,17,"Βιασμοί","-","-"
2014,5,20,1,22,"Εκβιάσεις","-","-"
2014,6,680,"-",680,"Επαιτεία","-","-"
2014,7,50,"-",2,"Ζωοκλοπή","-","-"
2014,8,"1,613","-",113,"Κυκλοφ. Παραχαραγμένων","-","-"
2014,9,490,"-",401,"Λαθρεμπόριο","-","-"
2014,10,"1,792","-","1,792","Νόμος / Ναρκωτικά","-","-"
2014,11,672,2,626,"Νόμος / Όπλα","-","-"
2014,12,45,"-",43,"Νόμος / Πνευματική Ιδιοκτησία","-","-"
2014,13,308,"-",291,"Πλαστογραφία","-","-"
2014,14,88,"-",86,"Σεξουαλική Εκμετάλλευση","-","-"
2014,15,"1,976",167,294,"Κλοπές","Διαρρήξεις","Ι.Χ."
2014,16,23,4,18,"Κλοπές","Διαρρήξεις","Ιερών Ναών"
2014,17,966,110,411,"Κλοπές","Διαρρήξεις","Κατασημάτων"
2014,18,"1,825",166,399,"Κλοπές","Διαρρήξεις","Λοιπές"
2014,19,"2,548",281,386,"Κλοπές","Διαρρήξεις","Οικιών"
2014,20,"1,043",8,42,"Κλοπές","Διαρρήξεις","Συγκοινωνιακών Μέσων
"
2014,21,99,1,24,"Κλοπές","Διαρρήξεις","Τσαντών"
2014,22,"1,636",14,205,"Κλοπές","Διαρρήξεις","Σε Δημόσιο Χώρο / Μικροκλοπές
"
2014,23,746,2,386,"Κλοπές","Τροχοφόρων","Ι.Χ."
2014,24,363,1,214,"Κλοπές","Τροχοφόρων","Ι.Χ.Φ. - Λεωφορείων"
2014,25,21,"-",3,"Κλοπές","Τροχοφόρων","Λοιπών Οχημάτων"
2014,26,174,1,109,"Κλοπές","Τροχοφόρων","Μοτοποδηλάτων"
2014,27,655,6,290,"Κλοπές","Τροχοφόρων","Μοτοσυκλετών"
2014,28,"-","-","-","Ληστείες","Δ.Ο.Υ","-"
2014,29,18,3,12,"Ληστείες","Εντός Καταστημάτων","-"
2014,30,95,12,32,"Ληστείες","Εντός Οικειών","-"
2014,31,197,14,79,"Ληστείες","Κινητών Τηλεφώνων / Μικροποσών","-"
2014,32,37,6,21,"Ληστείες","Λοιπές","-"
2014,33,14,3,8,"Ληστείες","Με αρπαγή τσάντας
","-"
2014,34,9,1,3,"Ληστείες","Οδηγών Ταξί","-"
2014,35,4,"-",1,"Ληστείες","Πρατηρίων Υγρών Καυσίμων","-"
2014,36,4,"-",1,"Ληστείες","ΕΛ.ΤΑ.","-"
2014,37,9,2,5,"Ληστείες","Μίνι Μάρκετ / Ψιλικατζίδικα
","-"
2014,38,2,"-",1,"Ληστείες","Περίπτερα
","-"
2014,39,3,"-","-","Ληστείες","Πρακτορεία Ο.Π.Α.Π.
","-"
2014,40,8,"-",2,"Ληστείες","Σούπερ Μάρκετ
","-"
2014,41,"-","-","-","Ληστείες","Ταχυδρομικών Διανομέων","-"
